Rk,Tm,PF,Sc%,EXP
1,Kansas City Chiefs,565,52.6,298.14
2,Los Angeles Rams,527,48.6,239.79
3,New Orleans Saints,504,51.8,237.73
4,New England Patriots,436,40.8,190.96
5,Indianapolis Colts,433,41.2,140.47
6,Seattle Seahawks,428,39.8,128.78
7,Los Angeles Chargers,428,42.4,170.19
8,Pittsburgh Steelers,428,36.8,156.16
9,Chicago Bears,421,36.8,96.31
10,Atlanta Falcons,414,42.9,155.08
11,Houston Texans,402,40.3,84.1
12,Tampa Bay Buccaneers,396,37,121.14
13,Baltimore Ravens,389,40.7,72.85
14,Green Bay Packers,376,38.8,108.88
15,Carolina Panthers,376,37,117.24
16,New York Giants,369,38.4,70.53
17,Cincinnati Bengals,368,35.5,47.57
18,Philadelphia Eagles,367,38.1,91.97
19,Minnesota Vikings,360,32.4,7.47
20,Cleveland Browns,359,31.2,36.91
21,San Francisco 49ers,342,37,20.95
22,Dallas Cowboys,339,37.9,83.04
23,New York Jets,333,32,-97.45
24,Denver Broncos,329,30.6,24.23
25,Detroit Lions,324,35.3,39.87
26,Miami Dolphins,319,28.3,-40.39
27,Tennessee Titans,310,34.9,10.48
28,Las Vegas Raiders,290,31.3,-17.92
29,Washington Redskins,281,31.8,-34.07
30,Buffalo Bills,269,26.4,-104.81
31,Jacksonville Jaguars,245,25,-98.17
32,Arizona Cardinals,225,19.3,-155.06
